g1_id,g2_id,g3_id,race,sex,g1_educ,g2_educ,g3_educ,g1_log_income,g2_log_income,g3_log_income
1,1,1,White,Female,Less than high school,Less than high school,High school,10.89882302140705,11.274951208762015,10.742103959089913
1,2,4,White,Female,Less than high school,High school,Some college,10.89882302140705,12.051806658255483,11.526851650597337
1,4,7,White,Female,Less than high school,High school,High school,10.89882302140705,11.385778919975392,11.239181779710032
2,6,9,White,Female,Less than high school,Less than high school,High school,10.663042999766734,11.274951208762015,10.742103959089913
2,6,10,White,Male,Less than high school,Less than high school,High school,10.663042999766734,11.274951208762015,10.719894952971842
2,7,11,White,Male,Less than high school,High school,Some college,10.663042999766734,12.051806658255483,11.324793321347874
2,7,12,White,Female,Less than high school,High school,Some college,10.663042999766734,12.051806658255483,11.526851650597337
2,8,13,White,Female,Less than high school,Less than high school,Less than high school,10.663042999766734,11.555457807942714,9.991035851248862
5,13,19,White,Male,Less than high school,High school,Less than high school,11.096239150282509,11.042594636819215,11.058981069601192
5,13,21,White,Male,Less than high school,High school,Less than high school,11.096239150282509,11.042594636819215,10.415403120856118
5,14,24,White,Female,Less than high school,Less than high school,Less than high school,11.096239150282509,10.137670719643198,10.239651994429783
5,14,25,White,Male,Less than high school,Less than high school,Less than high school,11.096239150282509,10.137670719643198,10.75272591790967
5,15,26,White,Female,Less than high school,Less than high school,High school,11.096239150282509,10.06037886469382,9.565136819936663
6,16,29,White,Female,Less than high school,Some college,College,11.612632472144105,11.892993412411844,12.231338955077584
7,17,30,White,Female,High school,Some college,College,11.61935542025717,11.892993412411844,12.231338955077584
9,19,33,White,Female,Less than high school,Less than high school,Some college,10.552793289414247,11.126975436633538,10.893153849263228
9,19,34,White,Female,Less than high school,Less than high school,High school,10.552793289414247,11.126975436633538,11.292237762313988
10,20,36,White,Female,High school,Less than high school,High school,10.993015927153966,11.126975436633538,11.292237762313988
12,22,39,White,Female,High school,Less than high school,High school,11.63373795407655,10.741051068948693,10.704276029389172
12,22,40,White,Female,High school,Less than high school,Some college,11.63373795407655,10.741051068948693,10.583381993935848
13,23,41,Black,Female,Less than high school,High school,Some college,11.085401359771446,11.118398370242767,10.731668100372492
14,24,42,White,Female,Less than high school,High school,College,11.701179572559374,11.667542299821854,11.579481034077126
14,25,46,White,Female,Less than high school,High school,High school,11.701179572559374,10.777441570698423,9.417230390532307
15,26,50,White,Male,High school,High school,College,11.810482186244291,11.667542299821854,11.116740565815974
15,27,51,White,Female,High school,High school,College,11.810482186244291,10.777441570698423,11.268394282188739
15,27,53,White,Male,High school,High school,Less than high school,11.810482186244291,10.777441570698423,11.312657138088598
17,30,56,White,Female,Some college,Some college,High school,11.072577709509424,10.965793649491777,11.564577223307596
18,32,58,White,Female,High school,High school,College,11.731062821546569,11.345044082303136,10.548346043244955
20,35,61,White,Male,Less than high school,High school,High school,11.394849502317125,11.190660800071374,11.275050400821279
20,37,64,White,Male,Less than high school,High school,Less than high school,11.394849502317125,11.240694673918577,10.954811651686702
20,38,65,White,Male,Less than high school,High school,Less than high school,11.394849502317125,11.048706515280887,10.1878026225283
21,39,66,White,Male,High school,Less than high school,High school,11.440819951158247,11.229730690231907,11.051353124376254
21,40,67,White,Male,High school,High school,High school,11.440819951158247,11.190660800071374,11.275050400821279
21,40,68,White,Male,High school,High school,High school,11.440819951158247,11.190660800071374,11.183335630342322
21,42,70,White,Male,High school,High school,Less than high school,11.440819951158247,11.240694673918577,10.954811651686702
22,45,74,White,Male,Less than high school,College,College,11.632295138879716,12.005929015846828,11.204237087227527
22,46,75,White,Female,Less than high school,College,High school,11.632295138879716,11.949098595812833,11.929235572089821
23,47,76,White,Female,College,College,College,11.200460308708042,11.968613742713597,11.993982647816624
23,47,77,White,Male,College,College,College,11.200460308708042,11.968613742713597,11.801014082152951
23,48,78,White,Female,College,College,College,11.200460308708042,11.55259422648666,12.117962461492382
24,49,79,White,Male,High school,High school,Some college,11.767364390156432,11.774804409227796,13.01366634890535
24,49,81,White,Female,High school,High school,College,11.767364390156432,11.774804409227796,9.907647827019858
25,50,82,White,Male,High school,High school,Some college,11.556792719498098,11.571754142819296,11.662212717392872
27,52,88,White,Female,Less than high school,College,College,12.51592152352024,11.626930159412796,12.37115063043085
27,52,89,White,Female,Less than high school,College,College,12.51592152352024,11.626930159412796,11.66981208163014
27,53,90,White,Female,Less than high school,Less than high school,High school,12.51592152352024,11.309558904781,12.320860528978196
28,55,93,White,Female,Less than high school,College,College,12.573523069864313,11.626930159412796,11.66981208163014
28,57,95,White,Male,Less than high school,High school,College,12.573523069864313,11.8151788107408,12.108422675140257
29,58,97,White,Female,High school,High school,College,11.421320533198108,11.23724728510513,11.137366514596001
29,59,98,White,Female,High school,Less than high school,Some college,11.421320533198108,11.382365973820173,11.39624030573826
30,61,102,White,Female,High school,High school,College,11.521598328052596,11.23724728510513,11.137366514596001
30,63,105,White,Female,High school,High school,Some college,11.521598328052596,11.0158748448645,11.871603576193571
31,64,107,White,Male,Less than high school,High school,College,11.602874663440758,11.838652563171644,12.287035818576618
32,65,109,White,Male,High school,High school,College,11.606949127612909,11.838652563171644,12.287035818576618
34,67,111,Black,Male,High school,Some college,Less than high school,11.656808527234102,11.310715551937417,11.300781859678771
35,68,113,White,Male,College,College,Some college,12.0972337516361,11.71975610860199,10.178282862187706
35,69,114,White,Female,College,College,College,12.0972337516361,12.419829733752525,11.778762459576765
35,69,115,White,Female,College,College,College,12.0972337516361,12.419829733752525,11.743323556017968
36,71,118,White,Female,High school,College,College,12.0972337516361,12.419829733752525,11.778762459576765
38,73,121,White,Male,Less than high school,High school,High school,11.464316444615887,10.857293747537554,9.933160404154721
39,74,122,White,Female,Less than high school,Less than high school,Less than high school,10.316957896982128,9.05962213045878,10.424842981424355
39,75,123,White,Male,Less than high school,Less than high school,Less than high school,10.316957896982128,9.573832156263952,10.882324220298234
39,76,124,White,Female,Less than high school,Less than high school,Less than high school,10.316957896982128,9.783439843807903,10.420254212097683
39,76,126,White,Female,Less than high school,Less than high school,Less than high school,10.316957896982128,9.783439843807903,9.863135885551927
40,77,129,Black,Female,Some college,Some college,Some college,11.795281308446393,11.567907642573163,11.293975385571123
41,78,131,Black,Female,Less than high school,Some college,High school,11.829328675057408,11.567907642573163,10.923969128538555
44,82,136,White,Male,High school,College,College,11.872790113991387,11.605880753122808,12.081744174516214
45,83,137,White,Female,High school,College,College,11.053776287699867,11.867219757298367,11.058907526681438
45,84,140,White,Male,High school,College,College,11.053776287699867,11.29617624681302,11.033539795998466
45,84,141,White,Female,High school,College,Some college,11.053776287699867,11.29617624681302,11.153662510431866
46,86,143,White,Male,Less than high school,Less than high school,High school,10.228032708450582,10.51901698573518,10.828824293863034
46,86,144,White,Female,Less than high school,Less than high school,Some college,10.228032708450582,10.51901698573518,11.2908123485791
48,88,147,White,Male,Some college,High school,High school,11.982463467170398,10.224515443104197,11.07301574098324
48,88,149,White,Female,Some college,High school,Some college,11.982463467170398,10.224515443104197,11.794239358961145
48,88,151,White,Male,Some college,High school,High school,11.982463467170398,10.224515443104197,11.181549991364797
49,89,153,White,Female,Some college,High school,High school,12.137116719222869,10.224515443104197,10.864920426196084
50,90,157,White,Male,High school,Some college,Some college,12.14332834218234,12.172567315436265,12.285714844934747
51,93,160,White,Female,High school,Some college,College,12.139196439821196,12.022432197929827,12.750231081746245
54,96,163,White,Female,High school,College,College,11.772069249723046,11.816741626267149,12.706352596722533
54,96,164,White,Male,High school,College,College,11.772069249723046,11.816741626267149,12.622487618358216
55,97,165,Black,Female,Less than high school,Less than high school,Less than high school,9.91556843991299,9.452157017212675,9.855292382455445
58,100,168,White,Female,Some college,High school,College,11.443560441064006,11.026597322717567,12.531726372415243
59,101,169,White,Female,High school,High school,College,11.446103797519163,11.026597322717567,12.531726372415243
60,103,172,White,Female,High school,High school,Some college,11.784118563154859,11.521661620018984,11.224264671297181
60,103,174,White,Male,High school,High school,Some college,11.784118563154859,11.521661620018984,11.366803285398456
61,104,176,White,Male,Less than high school,High school,High school,11.786249495032296,10.866491476218505,11.275659563215022
61,105,179,White,Male,Less than high school,High school,Some college,11.786249495032296,11.521661620018984,11.366803285398456
64,112,186,Other,Female,Less than high school,Less than high school,Some college,11.06459492656794,10.161720108498805,11.503405114931592
64,112,187,Other,Female,Less than high school,Less than high school,High school,11.06459492656794,10.161720108498805,10.400192409471039
64,114,190,Other,Female,Less than high school,Less than high school,Some college,11.06459492656794,10.893031578584141,11.713738832698764
64,114,191,Other,Female,Less than high school,Less than high school,High school,11.06459492656794,10.893031578584141,10.767677524549427
64,115,194,Other,Female,Less than high school,Less than high school,High school,11.06459492656794,10.57741000830786,11.563851408807166
64,116,196,Other,Female,Less than high school,Less than high school,High school,11.06459492656794,11.407533316097442,11.31949763659955
64,117,198,Other,Female,Less than high school,Less than high school,High school,11.06459492656794,10.830306253665217,9.53508961797482
65,118,199,Other,Female,Less than high school,Less than high school,Some college,11.08307302951843,10.161720108498805,11.503405114931592
65,118,200,Other,Female,Less than high school,Less than high school,High school,11.08307302951843,10.161720108498805,10.400192409471039
65,119,201,Other,Female,Less than high school,High school,Some college,11.08307302951843,11.48473545459896,11.42023544655494
65,120,204,Other,Female,Less than high school,Less than high school,High school,11.08307302951843,10.893031578584141,10.767677524549427
65,121,207,Other,Female,Less than high school,Less than high school,High school,11.08307302951843,10.57741000830786,11.563851408807166
65,122,209,Other,Female,Less than high school,Less than high school,High school,11.08307302951843,11.407533316097442,11.31949763659955
66,124,212,White,Male,High school,Some college,College,11.90282765238184,11.546909821298385,12.311827110339626
66,124,213,White,Male,High school,Some college,College,11.90282765238184,11.546909821298385,11.417126966529647
66,125,216,White,Female,High school,High school,High school,11.90282765238184,12.026106891924877,12.251874122705024
66,126,217,White,Female,High school,High school,High school,11.90282765238184,10.748574825474394,11.03584236826553
66,126,218,White,Male,High school,High school,Some college,11.90282765238184,10.748574825474394,10.117242335645228
66,126,219,White,Male,High school,High school,High school,11.90282765238184,10.748574825474394,11.413700599630564
67,127,220,White,Male,Less than high school,Some college,College,11.939001248908246,11.546909821298385,12.311827110339626
67,127,221,White,Male,Less than high school,Some college,College,11.939001248908246,11.546909821298385,11.417126966529647
67,128,222,White,Female,Less than high school,High school,Some college,11.939001248908246,12.026106891924877,11.666513581775336
67,128,223,White,Male,Less than high school,High school,College,11.939001248908246,12.026106891924877,12.877468669900844
67,128,224,White,Female,Less than high school,High school,High school,11.939001248908246,12.026106891924877,12.251874122705024
67,129,226,White,Male,Less than high school,High school,Some college,11.939001248908246,10.748574825474394,10.117242335645228
68,130,228,White,Male,High school,High school,College,11.742849560700572,12.197913775237454,11.960774796779598
